ID,time,mood,userID,lng,lat,facebookID,status,code
00077,"2010-11-17 16:50:05",4,00010,0,0,569346452,,0
00076,"2010-11-17 16:49:27",3,00010,0,0,569346452,,0
00075,"2010-11-17 16:47:39",2,00010,0,0,569346452,,0
00074,"2010-11-17 16:45:55",4,00010,0,0,569346452,,0
00073,"2010-11-17 16:43:48",4,00010,0,0,569346452,,0
00072,"2010-11-17 16:42:11",3,00010,0,0,569346452,,0
00071,"2010-11-17 16:40:51",6,00010,0,0,569346452,,0
00070,"2010-11-17 16:40:38",3,00010,0,0,569346452,,0
00069,"2010-11-17 16:37:34",4,00010,0,0,569346452,,0
00068,"2010-11-17 16:32:30",5,00010,0,0,569346452,,0
00067,"2010-11-17 16:28:38",4,00010,0,0,569346452,,0
00066,"2010-11-17 16:27:10",3,00010,0,0,569346452,,0
00065,"2010-11-17 16:15:43",6,00010,0,0,569346452,,0
00064,"2010-11-17 15:19:32",3,00010,0,0,569346452,,0
00063,"2010-10-02 15:19:16",4,00010,0,0,569346452,,0
00109,"2010-11-22 15:11:17",4,00010,0,0,569346452,,0
00108,"2010-11-22 12:51:20",6,00010,0,0,569346452,,0
00110,"2010-11-23 18:10:27",3,00010,0,0,569346452,,0
00107,"2010-11-21 22:28:05",5,00010,0,0,569346452,,0
00120,"2010-11-27 19:21:03",7,00005,0,0,503634371,,0
00111,"2010-11-23 18:24:43",4,00010,0,0,569346452,,0
00118,"2010-11-27 19:20:50",0,00005,0,0,503634371,,0
00117,"2010-11-27 19:19:37",1,00005,0,0,503634371,,0
00116,"2010-11-24 17:52:32",4,00010,0,0,569346452,,0
00115,"2010-11-24 17:33:06",4,00010,0,0,569346452,,0
00121,"2010-11-27 19:21:10",0,00005,0,0,503634371,,0
00124,"2010-11-28 19:25:49",4,00011,0,0,690276513,,0
00119,"2010-11-27 19:20:57",3,00005,0,0,503634371,,0
00122,"2010-11-27 19:23:16",6,00010,0,0,569346452,,0
00123,"2010-11-28 19:25:26",7,00011,0,0,690276513,,0
00114,"2010-11-24 17:32:47",5,00010,0,0,569346452,,0
00112,"2010-11-24 09:13:24",4,00010,0,0,569346452,,0
00113,"2010-11-24 17:32:39",6,00010,0,0,569346452,,0
00125,"2010-11-28 19:26:03",1,00011,0,0,690276513,,0
00078,"2010-11-17 16:50:17",6,00010,0,0,569346452,,0
00079,"2010-11-17 17:02:09",5,00010,0,0,569346452,,0
00080,"2010-11-17 17:02:45",0,00010,0,0,569346452,,0
00081,"2010-11-17 17:04:46",8,00010,0,0,569346452,,0
00082,"2010-11-17 17:05:14",8,00010,0,0,569346452,,0
00083,"2010-11-17 17:07:08",8,00010,0,0,569346452,,0
00084,"2010-11-17 17:10:12",4,00010,0,0,569346452,,0
00085,"2010-11-17 22:00:05",4,00010,0,0,569346452,,0
00086,"2010-11-17 22:20:12",3,00010,0,0,569346452,,0
00087,"2010-11-17 22:42:24",4,00010,0,0,569346452,,0
00088,"2010-11-17 23:01:13",3,00010,0,0,569346452,,0
00089,"2010-11-18 11:11:44",5,00010,0,0,569346452,,0
00090,"2010-11-18 15:15:57",4,00010,0,0,569346452,,0
00091,"2010-11-18 20:21:18",2,00010,0,0,569346452,,0
00092,"2010-11-18 22:56:18",5,00010,0,0,569346452,,0
00093,"2010-11-18 23:40:28",4,00010,0,0,569346452,,0
00094,"2010-11-19 09:07:01",3,00010,0,0,569346452,,0
00095,"2010-11-19 09:26:08",4,00010,0,0,569346452,,0
00096,"2010-11-19 09:52:14",6,00010,0,0,569346452,,0
00097,"2010-11-19 11:08:22",7,00010,0,0,569346452,,0
00098,"2010-11-19 12:37:51",6,00010,0,0,569346452,,0
00099,"2010-11-19 16:19:09",4,00010,0,0,569346452,,0
00100,"2010-11-19 16:50:58",3,00010,0,0,569346452,,0
00101,"2010-11-19 17:14:26",4,00010,0,0,569346452,,0
00102,"2010-11-19 20:19:42",2,00010,0,0,569346452,,0
00103,"2010-11-19 20:19:46",2,00010,0,0,569346452,,0
00104,"2010-11-20 18:58:30",5,00010,0,0,569346452,,0
00105,"2010-11-21 08:50:29",3,00010,0,0,569346452,,0
00106,"2010-11-21 16:10:37",4,00010,0,0,569346452,,0
00126,"2010-11-28 19:41:50",4,00010,0,0,569346452,,0
00127,"2010-11-28 20:52:51",8,00010,0,0,569346452,,0
00128,"2010-11-28 21:08:59",8,00010,0,0,569346452,,0
00129,"2010-11-28 21:09:14",7,00010,0,0,569346452,,0
00130,"2010-11-29 11:01:09",5,00010,0,0,569346452,,0
00131,"2010-11-29 13:22:35",5,00010,0,0,569346452,Foo,0
00132,"2010-11-30 14:30:27",4,00010,0,0,569346452,Recovering,0
00133,"2010-11-30 19:52:58",6,00010,0,0,569346452,"Getting to understand facebook publish",0
00134,"2010-11-30 19:56:05",5,00010,0,0,569346452,"Testing Facebook publish",0
00135,"2010-11-30 20:19:17",6,00010,0,0,569346452,Yay!,0
00136,"2010-11-30 20:31:00",4,00010,0,0,569346452,Yay!,0
00137,"2010-11-30 20:40:50",6,00010,0,0,569346452,Blah,0
00138,"2010-11-30 20:52:10",6,00010,0,0,569346452,"Talking to Manda",0
00139,"2010-11-30 20:52:50",6,00010,0,0,569346452,"taling to Manda",0
00140,"2010-11-30 21:04:45",4,00010,0,0,569346452,"testing Moodoo",0
00141,"2010-11-30 21:05:21",8,00010,0,0,569346452,"testing Moodoo",0
00142,"2010-11-30 21:05:46",7,00010,0,0,569346452,"testing Moodoo",0
00143,"2010-11-30 21:06:11",2,00010,0,0,569346452,"testing Moodoo",0
00144,"2010-11-30 21:12:25",1,00010,0,0,569346452,"Debugging sucks",0
00145,"2010-11-30 21:14:16",6,00010,0,0,569346452,"Got Moodoo to publish to Facebook!",0
00146,"2010-11-30 21:15:14",5,00010,0,0,569346452,"Still chugging",0
00147,"2010-11-30 21:16:12",4,00010,0,0,569346452,Foo,0
00148,"2010-11-30 21:18:09",8,00010,0,0,569346452,Foo,0
00149,"2010-11-30 21:26:58",5,00010,0,0,569346452,"Working away",0
00150,"2010-11-30 21:27:38",5,00010,0,0,569346452,"Working away",0
00151,"2010-11-30 21:35:52",6,00010,0,0,569346452,testing,0
00152,"2010-11-30 21:44:04",8,00010,0,0,569346452,"about to go to sleep",0
00153,"2010-12-03 19:11:23",4,00010,0,0,569346452,"Got rounded corners working",0
00154,"2010-12-03 19:30:04",4,00010,0,0,569346452,Test,0
00155,"2010-12-03 19:31:10",5,00010,0,0,569346452,Test,0
